,area,subarea,name,condition,cylinders,drive,fuel,odometer,paintcolor,size,transmission,type,dealer,price,lnprice,year,age,lnodometer,LE,XLE,SE,cond_excellent,cond_good,cond_likenew,cylind6,agesq,agecu,odometersq
2,chicago,chicago city,2015 Toyota_ Camry_,excellent,other,Missing,gas,3.5721,,,automatic,sedan,1,14850,9.6057549,2015,3,1.2731537,0,0,0,1,0,0,0,9,27,12.759898409999998
3,chicago,chicago city,2016 TOYOTA CAMRY,Missing,Missing,fwd,gas,1.3152,,,automatic,sedan,1,15630,9.6569471,2016,2,0.27398875,0,0,0,0,0,0,0,4,8,1.7297510399999998
4,chicago,chicago city,1993 toyota camry,good,6 cylinders,fwd,gas,18.7,red,full-size,automatic,sedan,0,850,6.7452364,1993,25,2.9285235,0,0,0,0,1,0,1,625,15625,349.69
6,chicago,chicago city,1998 toyota camry le,Missing,Missing,Missing,gas,16.82425880432129,,,automatic,Missing,0,1600,7.377759,1998,20,2.8228219,1,0,0,0,0,0,0,400,8000,283.0556843147824
7,chicago,chicago city,1998 Toyota Camry,Missing,Missing,Missing,gas,16.82425880432129,,,automatic,Missing,0,1500,7.3132205,1998,20,2.8228219,0,0,0,0,0,0,0,400,8000,283.0556843147824
8,chicago,chicago city,1999 toyota camry,good,4 cylinders,fwd,gas,20.2,,,automatic,sedan,0,1650,7.4085307,1999,19,3.0056827,0,0,0,0,1,0,0,361,6859,408.03999999999996
9,chicago,chicago city,2000 toyota camry le,excellent,4 cylinders,fwd,gas,10.7,white,mid-size,automatic,sedan,0,2295,7.7384882,2000,18,2.3702438,1,0,0,1,0,0,0,324,5832,114.48999999999998
10,chicago,chicago city,2002 toyota camry solara,Missing,6 cylinders,fwd,gas,16.0,black,,automatic,Missing,0,1650,7.4085307,2002,16,2.7725887,0,0,0,0,0,0,1,256,4096,256.0
11,chicago,chicago city,2002 toyota camry,Missing,Missing,Missing,gas,14.32672119140625,,,automatic,Missing,0,3500,8.1605186,2002,16,2.6621263,0,0,0,0,0,0,0,256,4096,205.25494009628892
12,chicago,chicago city,2003 Toyota CAMRY XLE,Missing,Missing,Missing,gas,14.08167171478271,white,,automatic,Missing,0,1100,7.0030656,2003,15,2.6448741,0,1,0,0,0,0,0,225,3375,198.29347828291142
